movieId,avg_rating,avg_sentiment,rating_variance,fairness_score,category
52,3.464,0.0,0.758,0.193,Fair
53,5.0,0.013,0.0,0.494,Overrated
54,2.333,0.013,2.333,0.04,Controversial
55,4.0,0.013,0.0,0.294,Overrated
57,3.062,0.013,0.746,0.106,Fair
58,4.027,0.0,0.846,0.305,Overrated
60,3.235,0.013,1.049,0.141,Fair
61,3.75,0.013,0.775,0.244,Overrated
62,3.706,0.0,1.099,0.241,Overrated
63,3.083,0.013,0.442,0.11,Fair
64,2.2,0.013,0.7,0.066,Fair
65,2.532,0.013,1.116,0.0,Fair
66,2.75,0.013,0.786,0.044,Fair
68,3.4,0.013,1.3,0.174,Controversial
69,3.775,0.013,0.802,0.249,Overrated
70,3.518,0.013,1.018,0.197,Fair
71,1.7,0.013,0.2,0.166,Fair
72,3.214,0.013,1.655,0.136,Controversial
73,3.462,0.013,0.478,0.186,Fair
74,4.0,0.013,0.571,0.294,Overrated
75,2.2,0.013,1.2,0.066,Controversial
76,3.4,0.013,1.436,0.174,Controversial
77,4.0,0.013,0.0,0.294,Overrated
78,3.333,0.013,0.333,0.16,Fair
79,2.765,0.013,1.441,0.046,Controversial
80,4.0,0.013,0.0,0.294,Overrated
81,3.107,0.013,0.584,0.115,Fair
82,3.875,0.013,2.196,0.269,Controversial
83,3.0,0.013,0.0,0.094,Fair
85,3.857,0.013,2.476,0.265,Controversial
86,3.967,0.013,0.588,0.287,Overrated
87,2.833,0.013,0.167,0.06,Fair
88,3.333,0.013,0.952,0.16,Fair
89,3.25,0.013,0.569,0.144,Fair
92,2.625,0.0,1.054,0.025,Fair
93,2.833,0.013,1.062,0.06,Fair
94,3.95,0.013,0.247,0.284,Overrated
95,3.029,0.013,1.02,0.099,Fair
96,3.5,0.0,0.0,0.2,Fair
97,3.9,0.013,0.544,0.274,Overrated
99,5.0,0.013,0.0,0.494,Overrated
100,2.786,0.013,0.489,0.051,Fair
101,3.783,0.0,1.087,0.257,Overrated
102,2.4,0.013,3.8,0.026,Controversial
103,3.0,0.013,0.0,0.094,Fair
104,3.469,0.0,0.906,0.194,Fair
105,3.283,0.013,0.723,0.15,Fair
106,4.0,0.013,0.0,0.294,Overrated
107,3.327,0.0,0.859,0.165,Fair
108,4.0,0.013,0.0,0.294,Overrated
110,4.044,0.4,0.885,0.109,Fair
111,4.114,0.0,0.674,0.323,Overrated
112,3.553,0.013,0.85,0.204,Overrated
113,3.333,0.013,0.333,0.16,Fair
116,3.75,0.0,0.975,0.25,Overrated
117,3.0,0.013,0.0,0.094,Fair
118,2.5,0.013,0.5,0.006,Fair
119,3.0,0.013,0.0,0.094,Fair
121,4.0,0.013,0.0,0.294,Overrated
122,2.656,0.0,0.524,0.031,Fair
123,4.375,0.013,0.896,0.369,Overrated
125,3.583,0.013,1.583,0.21,Controversial
126,2.0,0.013,0.667,0.106,Fair
128,3.0,0.013,0.0,0.094,Fair
129,2.0,0.013,0.0,0.106,Fair
132,2.833,0.013,0.567,0.06,Fair
135,2.952,0.013,1.056,0.084,Fair
137,3.0,0.013,0.0,0.094,Fair
140,3.5,0.0,0.467,0.2,Fair
141,3.494,0.013,0.709,0.192,Fair
144,3.333,0.013,0.742,0.16,Fair
145,3.245,0.013,0.744,0.143,Fair
146,3.333,0.013,0.333,0.16,Fair
147,3.467,0.0,0.731,0.193,Fair
148,5.0,0.013,0.0,0.494,Overrated
149,2.0,0.013,0.0,0.106,Fair
150,3.842,0.0,0.768,0.268,Overrated
151,3.545,0.013,0.905,0.203,Overrated
152,1.5,0.013,0.5,0.206,Underrated
153,2.934,0.0,0.775,0.087,Fair
154,3.875,0.013,0.369,0.269,Overrated
155,2.417,0.013,1.842,0.023,Controversial
156,3.333,0.013,1.333,0.16,Controversial
157,2.864,0.013,1.205,0.066,Controversial
158,2.924,0.013,1.016,0.078,Fair
159,2.933,0.013,0.817,0.08,Fair
160,2.877,0.0,1.056,0.075,Fair
161,3.63,0.0,0.767,0.226,Overrated
162,4.206,0.0,0.408,0.341,Overrated
163,3.561,0.013,0.989,0.206,Overrated
164,3.321,0.013,0.6,0.158,Fair
165,3.556,0.013,0.85,0.205,Overrated
166,2.833,0.013,1.583,0.06,Controversial
168,3.235,0.013,1.364,0.141,Controversial
169,2.611,0.013,0.611,0.016,Fair
170,3.229,0.013,0.843,0.139,Fair
171,3.833,0.013,0.967,0.26,Overrated
172,2.721,0.013,1.073,0.038,Fair
173,2.705,0.013,0.995,0.035,Fair
174,2.7,0.013,2.178,0.034,Controversial
175,3.975,0.667,0.565,0.038,Fair
176,4.308,0.013,0.272,0.355,Overrated
177,2.75,0.013,1.357,0.044,Controversial
178,1.0,0.013,0.0,0.306,Underrated
179,1.5,0.013,0.5,0.206,Underrated
180,3.486,0.013,0.625,0.191,Fair
181,2.375,0.013,1.217,0.031,Controversial
183,3.5,0.013,0.5,0.194,Fair
184,3.5,0.013,0.5,0.194,Fair
185,3.086,0.0,0.968,0.117,Fair
186,3.034,0.013,0.714,0.1,Fair
187,4.125,0.013,0.729,0.319,Overrated
188,3.458,0.013,1.021,0.185,Fair
189,3.0,0.013,0.0,0.094,Fair
190,2.8,0.013,2.2,0.054,Controversial
191,2.417,0.013,2.042,0.023,Controversial
193,2.471,0.013,1.029,0.012,Fair
194,3.737,0.013,1.621,0.241,Controversial
195,3.1,0.013,1.6,0.114,Controversial
196,2.767,0.013,0.647,0.047,Fair
198,3.25,0.013,0.861,0.144,Fair
199,4.125,0.0,0.729,0.325,Overrated
201,3.0,0.013,0.0,0.094,Fair
202,3.0,0.013,0.0,0.094,Fair
203,3.432,0.013,0.626,0.18,Fair
204,2.793,0.013,1.134,0.052,Fair
205,3.167,0.013,0.375,0.127,Fair
206,3.0,0.013,2.0,0.094,Controversial
207,3.429,0.013,1.182,0.179,Fair
208,2.935,0.013,0.862,0.081,Fair
209,3.167,0.013,0.583,0.127,Fair
210,3.0,0.013,0.667,0.094,Fair
211,3.5,0.013,0.5,0.194,Fair
212,3.0,0.013,1.75,0.094,Controversial
213,4.5,0.013,0.75,0.394,Overrated
214,4.0,0.013,0.0,0.294,Overrated
215,4.08,0.0,0.993,0.316,Overrated
216,3.327,0.0,1.131,0.165,Fair
217,2.333,0.013,2.267,0.04,Controversial
218,3.429,0.013,1.033,0.179,Fair
219,3.0,0.013,0.0,0.094,Fair
220,3.0,0.013,0.0,0.094,Fair
222,3.75,0.0,1.533,0.25,Controversial
223,3.856,0.333,0.896,0.104,Fair
224,3.612,-0.5,0.57,0.472,Overrated
225,3.538,0.013,0.616,0.201,Overrated
227,2.864,0.013,1.076,0.066,Fair
228,2.333,0.013,1.333,0.04,Controversial
229,3.429,0.013,0.702,0.179,Fair
230,3.396,0.0,0.565,0.179,Fair
231,3.086,0.013,1.205,0.111,Controversial
232,3.893,0.0,1.507,0.279,Controversial
233,3.5,0.013,0.273,0.194,Fair
234,2.588,0.013,0.882,0.011,Fair
235,3.679,0.0,0.826,0.236,Overrated
236,3.545,0.013,0.649,0.203,Overrated
237,3.341,0.0,1.081,0.168,Fair
238,4.0,0.013,2.0,0.294,Controversial
239,3.0,0.013,1.125,0.094,Fair
240,2.375,0.013,0.562,0.031,Fair
241,4.0,0.013,0.0,0.294,Overrated
242,3.6,0.013,0.8,0.214,Overrated
243,3.0,0.013,0.0,0.094,Fair
246,4.293,0.0,0.581,0.359,Overrated
247,3.929,0.0,0.582,0.286,Overrated
248,3.176,-0.5,0.998,0.385,Overrated
249,3.722,0.0,0.801,0.244,Overrated
250,2.5,0.013,1.2,0.006,Controversial
251,3.0,0.013,0.25,0.094,Fair
252,3.453,0.0,0.748,0.191,Fair
253,3.519,0.013,0.878,0.197,Fair
254,3.0,0.013,0.0,0.094,Fair
255,2.333,0.013,2.267,0.04,Controversial
256,2.897,0.013,0.951,0.073,Fair
257,3.5,0.0,0.885,0.2,Fair
258,2.6,0.013,1.156,0.014,Fair
259,3.2,0.013,0.2,0.134,Fair
260,4.249,0.423,0.707,0.138,Fair
261,3.881,0.0,0.583,0.276,Overrated
262,3.905,0.0,0.39,0.281,Overrated
263,4.0,0.013,0.0,0.294,Overrated
265,3.939,0.013,1.137,0.281,Overrated
266,3.44,0.013,0.845,0.182,Fair
267,2.941,0.013,1.684,0.082,Controversial
269,3.0,0.013,0.0,0.094,Fair
270,3.4,0.013,1.925,0.174,Controversial
271,3.5,0.013,1.667,0.194,Controversial
272,3.758,-0.5,1.248,0.502,Controversial
273,2.946,0.0,1.099,0.089,Fair
274,2.929,0.013,1.536,0.079,Controversial
275,2.0,0.013,0.4,0.106,Fair
276,3.25,0.013,0.661,0.144,Fair
277,3.297,0.0,1.159,0.159,Fair
278,1.5,0.013,0.5,0.206,Underrated
279,3.0,0.0,0.0,0.1,Fair
280,4.077,0.0,0.744,0.315,Overrated
281,3.786,0.013,0.643,0.251,Overrated
282,3.338,0.0,0.877,0.167,Fair
283,3.667,0.013,2.333,0.227,Controversial
284,4.5,0.013,0.0,0.394,Overrated
285,4.0,0.013,0.0,0.294,Overrated
287,3.0,0.013,0.0,0.094,Fair
288,3.231,0.0,1.253,0.146,Controversial
289,3.562,0.013,1.246,0.206,Controversial
290,4.036,0.0,0.71,0.307,Overrated
291,2.333,0.013,0.333,0.04,Fair
292,3.422,0.013,0.811,0.178,Fair
293,4.026,0.143,0.746,0.234,Overrated
294,3.0,0.013,0.0,0.094,Fair
295,3.0,0.013,0.0,0.094,Fair
296,4.223,0.066,0.819,0.311,Overrated
298,2.0,0.013,0.0,0.106,Fair
299,4.0,0.013,1.333,0.294,Controversial
300,3.556,0.0,0.608,0.211,Overrated
301,4.0,0.013,0.0,0.294,Overrated
302,3.2,0.013,0.2,0.134,Fair
303,2.955,0.013,0.787,0.084,Fair
304,3.667,0.013,2.333,0.227,Controversial
305,2.833,0.013,1.5,0.06,Controversial
306,4.219,0.013,1.099,0.337,Overrated
307,3.896,0.0,1.326,0.279,Controversial
308,4.025,0.0,0.644,0.305,Overrated
310,3.0,0.013,0.0,0.094,Fair
311,3.0,0.013,0.0,0.094,Fair
312,1.562,0.013,0.531,0.194,Fair
313,3.333,0.013,0.333,0.16,Fair
314,3.75,0.013,0.7,0.244,Overrated
315,3.149,0.013,0.804,0.123,Fair
316,3.375,0.0,0.713,0.175,Fair
317,3.344,0.0,0.785,0.169,Fair
318,4.423,0.0,0.512,0.385,Overrated
319,3.595,0.013,1.44,0.213,Controversial
320,3.0,0.013,0.0,0.094,Fair
321,4.0,0.013,0.0,0.294,Overrated
322,3.55,0.013,1.136,0.204,Overrated
324,4.0,0.013,0.0,0.294,Overrated
325,2.5,0.013,1.417,0.006,Controversial
326,4.0,0.0,1.0,0.3,Overrated
327,2.894,0.013,1.121,0.072,Fair
328,3.182,0.013,1.264,0.13,Controversial
329,3.39,0.0,0.659,0.178,Fair
330,3.0,0.013,0.4,0.094,Fair
331,3.0,0.013,0.0,0.094,Fair
332,2.846,0.013,1.058,0.063,Fair
333,3.78,0.013,1.185,0.25,Overrated
334,4.2,0.013,0.7,0.334,Overrated
335,3.5,0.013,0.5,0.194,Fair
336,3.0,0.013,0.0,0.094,Fair
337,3.809,-1.0,0.746,0.762,Overrated
338,2.842,0.0,1.029,0.068,Fair
339,3.465,0.0,0.777,0.193,Fair
340,3.4,0.013,0.3,0.174,Fair
341,4.0,0.013,0.0,0.294,Overrated
342,3.359,0.0,0.859,0.172,Fair
343,2.9,0.013,0.8,0.074,Fair
344,3.072,0.013,1.072,0.108,Fair
345,3.597,-0.333,0.955,0.386,Overrated
346,3.5,0.013,0.3,0.194,Fair
347,3.5,0.013,0.7,0.194,Fair
348,3.583,0.013,1.26,0.21,Controversial
349,3.605,0.0,0.611,0.221,Overrated
350,3.438,0.0,0.601,0.188,Fair
351,3.176,0.0,0.811,0.135,Fair
352,2.5,0.013,0.5,0.006,Fair
353,3.609,0.013,0.94,0.215,Overrated
354,3.333,0.013,0.667,0.16,Fair
355,2.45,0.013,0.805,0.016,Fair
356,4.171,0.111,0.652,0.279,Overrated
357,3.61,0.0,0.993,0.222,Overrated
358,2.667,0.013,0.25,0.027,Fair
359,3.0,0.013,0.0,0.094,Fair
360,2.688,0.013,0.496,0.031,Fair
361,3.059,0.0,0.371,0.112,Fair
362,3.529,0.013,1.166,0.199,Fair
363,4.0,0.0,0.0,0.3,Overrated
364,3.942,0.2,0.701,0.188,Fair
365,3.25,0.013,0.917,0.144,Fair
366,2.917,0.013,1.583,0.077,Controversial
367,3.204,0.013,0.958,0.134,Fair
368,3.5,0.013,0.705,0.194,Fair
369,4.0,0.013,0.0,0.294,Overrated
370,3.2,0.013,0.719,0.134,Fair
371,3.31,0.0,0.662,0.162,Fair
372,2.762,0.013,1.215,0.046,Controversial
373,3.636,0.013,0.655,0.221,Overrated
374,2.432,0.013,1.221,0.02,Controversial
376,3.25,0.013,0.667,0.144,Fair
377,3.556,0.0,0.831,0.211,Overrated
378,2.786,0.013,0.655,0.051,Fair
379,2.5,0.013,0.9,0.006,Fair
380,3.522,0.0,0.793,0.204,Overrated
381,3.818,0.0,0.714,0.264,Overrated
382,3.156,0.013,1.057,0.125,Fair
383,3.095,0.013,1.09,0.113,Fair
384,3.25,0.013,0.125,0.144,Fair
385,4.0,0.013,0.0,0.294,Overrated
386,3.0,0.013,0.0,0.094,Fair
387,2.375,0.013,1.229,0.031,Controversial
388,3.0,0.013,2.0,0.094,Controversial
389,4.5,0.013,0.5,0.394,Overrated
390,3.7,0.013,1.45,0.234,Controversial
391,4.5,0.013,0.0,0.394,Overrated
393,2.5,0.013,1.167,0.006,Fair
405,2.417,0.013,0.583,0.023,Fair
406,3.0,0.013,0.0,0.094,Fair
407,3.611,0.013,1.049,0.216,Overrated
408,3.0,0.013,2.0,0.094,Controversial
409,2.0,0.013,0.0,0.106,Fair
410,3.101,-0.333,0.565,0.287,Overrated
412,3.406,0.0,1.174,0.181,Fair
413,2.788,0.0,0.883,0.058,Fair
414,2.333,0.013,0.267,0.04,Fair
415,2.531,0.013,0.582,0.0,Fair
416,2.5,0.013,0.857,0.006,Fair
417,3.692,0.013,1.397,0.232,Controversial
418,3.0,0.013,0.0,0.094,Fair
419,2.917,0.013,1.007,0.077,Fair
420,2.759,0.013,0.809,0.045,Fair
421,3.208,0.0,0.339,0.142,Fair
422,3.2,0.013,0.2,0.134,Fair
423,2.85,0.013,0.336,0.064,Fair
424,1.833,0.013,1.083,0.14,Fair
425,3.75,0.0,0.125,0.25,Overrated
426,3.143,0.013,0.143,0.122,Fair
427,2.542,0.013,1.248,0.002,Controversial
428,3.722,0.013,0.624,0.238,Overrated
429,2.0,0.013,0.5,0.106,Fair
430,3.75,0.013,3.125,0.244,Controversial
431,3.738,0.0,0.649,0.248,Overrated
432,2.726,0.013,0.909,0.039,Fair
433,2.75,0.013,0.714,0.044,Fair
434,3.059,0.013,0.746,0.105,Fair
435,2.551,0.013,0.954,0.004,Fair
436,2.571,0.013,0.869,0.008,Fair
437,2.167,0.013,0.5,0.073,Fair
438,2.714,0.013,0.571,0.036,Fair
440,3.546,0.0,0.448,0.209,Overrated
441,3.953,0.013,0.867,0.284,Overrated
442,3.158,0.013,0.837,0.125,Fair
444,2.333,0.013,0.667,0.04,Fair
445,3.0,0.013,0.727,0.094,Fair
446,3.833,0.013,1.688,0.26,Controversial
448,3.625,0.013,0.268,0.219,Overrated
449,1.0,0.013,0.0,0.306,Underrated
450,3.0,0.013,0.667,0.094,Fair
451,4.0,0.013,0.0,0.294,Overrated
452,3.0,0.013,1.0,0.094,Fair
453,2.8,0.013,0.7,0.054,Fair
454,3.529,0.0,0.677,0.206,Overrated
455,2.559,0.013,0.936,0.005,Fair
456,3.75,0.013,1.75,0.244,Controversial
457,4.013,0.0,0.551,0.303,Overrated
458,2.8,0.013,0.2,0.054,Fair
459,2.25,0.013,0.375,0.056,Fair
460,2.667,0.013,0.333,0.027,Fair
461,2.75,0.013,1.583,0.044,Controversial
464,3.0,0.013,0.6,0.094,Fair
466,2.907,0.013,1.064,0.075,Fair
467,5.0,0.013,0.0,0.494,Overrated
468,3.205,0.013,0.706,0.134,Fair
469,3.4,0.013,0.8,0.174,Fair
470,1.0,0.013,0.0,0.306,Underrated
471,3.561,0.0,1.202,0.212,Controversial
472,2.583,0.013,0.442,0.01,Fair
473,1.857,0.013,0.643,0.135,Fair
474,3.693,0.0,0.473,0.239,Overrated
475,4.3,0.0,0.396,0.36,Overrated
476,1.0,0.013,0.0,0.306,Underrated
477,3.382,0.0,0.329,0.176,Fair
478,2.5,0.013,0.0,0.006,Fair
479,2.25,0.013,0.25,0.056,Fair
480,3.766,0.0,0.693,0.253,Overrated
481,3.158,0.013,0.696,0.125,Fair
482,3.625,0.013,0.196,0.219,Overrated
484,3.0,0.013,8.0,0.094,Controversial
485,2.981,0.013,0.833,0.09,Fair
486,3.0,0.013,1.0,0.094,Fair
487,2.5,0.013,3.0,0.006,Controversial
488,3.0,0.0,0.0,0.1,Fair
489,2.864,0.013,0.105,0.066,Fair
490,3.0,0.013,0.545,0.094,Fair
491,3.294,0.013,1.221,0.152,Controversial
492,3.75,0.013,0.76,0.244,Overrated
493,3.667,0.013,0.379,0.227,Overrated
494,3.378,0.013,0.96,0.169,Fair
495,5.0,0.013,0.0,0.494,Overrated
496,5.0,0.013,0.0,0.494,Overrated
497,3.814,0.0,0.774,0.263,Overrated
499,2.5,0.013,0.5,0.006,Fair
500,3.409,-0.333,0.763,0.348,Overrated
501,3.667,0.013,1.167,0.227,Overrated
502,2.367,0.013,1.088,0.033,Fair
504,3.0,0.013,0.0,0.094,Fair
505,2.5,0.013,1.1,0.006,Fair
506,4.5,0.013,0.5,0.394,Overrated
507,3.385,0.013,0.423,0.17,Fair
508,3.614,0.0,0.791,0.223,Overrated
509,3.592,0.013,0.852,0.212,Overrated
510,3.0,0.013,0.0,0.094,Fair
511,3.0,0.013,2.0,0.094,Controversial
512,3.0,0.013,0.667,0.094,Fair
513,3.375,0.0,0.229,0.175,Fair
514,3.417,0.013,1.154,0.177,Fair
515,3.604,0.0,1.021,0.221,Overrated
516,3.056,-1.0,0.908,0.611,Overrated
517,3.278,0.013,1.069,0.149,Fair
518,2.375,0.013,0.229,0.031,Fair
519,2.386,0.013,1.189,0.029,Fair
520,3.13,0.013,1.137,0.12,Fair
521,3.167,0.013,0.083,0.127,Fair
522,3.75,0.0,0.275,0.25,Overrated
523,3.5,0.013,0.333,0.194,Fair
524,3.485,0.0,0.871,0.197,Fair
526,4.0,0.013,0.0,0.294,Overrated
527,4.256,0.143,0.831,0.28,Overrated
528,2.333,0.013,0.333,0.04,Fair
529,3.875,0.0,0.587,0.275,Overrated
531,3.25,0.0,0.826,0.15,Fair
532,3.0,0.013,0.367,0.094,Fair
533,2.889,0.013,0.487,0.071,Fair
534,3.607,0.0,0.776,0.221,Overrated
535,3.267,0.0,1.96,0.153,Controversial
536,3.333,0.013,0.333,0.16,Fair
537,3.167,0.013,0.697,0.127,Fair
538,3.583,0.0,1.038,0.217,Overrated
539,3.472,0.0,0.699,0.194,Fair
540,2.667,-1.0,0.824,0.533,Overrated
541,4.137,-0.077,0.81,0.366,Overrated
542,2.962,0.013,1.269,0.086,Controversial
543,3.388,0.0,0.904,0.178,Fair
544,2.438,0.013,0.674,0.019,Fair
546,2.25,0.013,0.596,0.056,Fair
547,3.25,0.013,1.125,0.144,Fair
548,2.75,0.013,0.775,0.044,Fair
549,4.5,0.013,0.5,0.394,Overrated
550,3.4,0.013,1.3,0.174,Controversial
551,3.621,0.0,0.796,0.224,Overrated
552,3.262,0.0,0.722,0.152,Fair
553,3.815,0.013,1.012,0.257,Overrated
555,3.8,0.013,0.819,0.254,Overrated
556,3.333,0.0,0.667,0.167,Fair
558,2.938,0.013,0.603,0.081,Fair
562,3.543,0.0,0.839,0.209,Overrated
563,4.0,0.013,0.0,0.294,Overrated
564,1.5,0.013,0.5,0.206,Underrated
567,2.0,0.013,1.0,0.106,Fair
568,3.5,0.013,0.5,0.194,Fair
569,2.667,0.013,1.067,0.027,Fair
573,3.5,0.013,0.0,0.194,Fair
574,3.25,0.013,0.25,0.144,Fair
575,2.964,0.013,0.864,0.086,Fair
577,2.125,0.013,1.063,0.081,Fair
579,3.0,0.013,0.0,0.094,Fair
580,2.8,0.013,1.2,0.054,Fair
581,4.0,0.013,0.667,0.294,Overrated
583,4.0,0.013,0.0,0.294,Overrated
585,2.868,0.013,0.596,0.067,Fair
586,2.996,0.0,0.985,0.099,Fair
587,3.435,0.0,0.875,0.187,Fair
588,3.81,0.0,0.719,0.262,Overrated
589,4.018,0.0,0.707,0.304,Overrated
590,3.836,0.0,0.735,0.267,Overrated
592,3.432,0.0,0.601,0.186,Fair
593,4.202,-0.167,0.588,0.424,Overrated
594,3.617,0.0,0.624,0.223,Overrated
595,3.771,0.0,0.711,0.254,Overrated
596,3.552,0.0,0.839,0.21,Overrated
597,3.507,0.0,0.658,0.201,Overrated
599,3.818,0.013,0.964,0.257,Overrated
600,4.0,0.013,0.0,0.294,Overrated
602,4.0,0.013,0.0,0.294,Overrated
605,3.0,0.013,0.833,0.094,Fair
606,3.0,0.013,0.667,0.094,Fair
608,4.118,0.0,0.683,0.324,Overrated
609,3.571,0.013,0.571,0.208,Overrated
610,3.545,0.013,0.912,0.203,Overrated
611,2.417,0.013,2.042,0.023,Controversial
612,2.5,0.013,0.6,0.006,Fair
613,3.167,0.013,1.5,0.127,Controversial
615,3.0,0.013,0.0,0.094,Fair
616,3.411,0.0,0.765,0.182,Fair
617,2.833,0.013,1.083,0.06,Fair
618,3.0,0.013,0.0,0.094,Fair
619,3.125,0.013,2.729,0.119,Controversial
626,5.0,0.013,0.0,0.494,Overrated
627,3.333,0.013,1.167,0.16,Fair
628,3.643,0.167,0.803,0.145,Fair
631,3.182,0.013,1.114,0.13,Fair
632,4.0,0.013,0.0,0.294,Overrated
633,5.0,0.013,0.0,0.494,Overrated
634,2.25,0.013,0.917,0.056,Fair
635,3.0,0.013,0.0,0.094,Fair
636,3.0,0.013,0.0,0.094,Fair
637,3.045,0.013,1.084,0.103,Fair
638,3.0,0.0,0.0,0.1,Fair
639,3.0,0.013,0.667,0.094,Fair
640,2.682,0.013,1.414,0.03,Controversial
645,3.5,0.013,0.5,0.194,Fair
647,3.429,0.0,0.847,0.186,Fair
648,3.556,0.0,0.759,0.211,Overrated
649,3.0,0.013,0.0,0.094,Fair
650,3.0,0.013,2.0,0.094,Controversial
653,3.133,0.013,0.629,0.12,Fair
656,3.0,0.013,0.5,0.094,Fair
661,3.449,0.013,1.044,0.183,Fair
662,3.286,0.013,2.238,0.151,Controversial
663,3.292,0.013,1.157,0.152,Fair
665,4.333,0.013,0.083,0.36,Overrated
667,2.812,0.013,1.138,0.056,Fair
668,4.25,0.0,1.125,0.35,Overrated
670,4.75,0.0,0.125,0.45,Overrated
671,3.571,-1.0,1.208,0.714,Controversial
673,2.84,0.0,1.035,0.068,Fair
674,3.167,0.013,1.625,0.127,Controversial
678,3.833,0.013,0.187,0.26,Overrated
679,4.0,0.013,0.0,0.294,Overrated
680,4.125,0.013,0.729,0.319,Overrated
685,4.0,0.013,2.0,0.294,Controversial
688,2.562,0.013,0.674,0.006,Fair
691,3.333,0.013,0.333,0.16,Fair
692,2.0,0.013,2.0,0.106,Controversial
694,2.955,0.013,0.623,0.084,Fair
695,4.0,0.013,0.0,0.294,Overrated
697,2.7,0.013,0.45,0.034,Fair
698,1.0,0.013,0.0,0.306,Underrated
700,3.214,0.013,0.821,0.136,Fair
703,2.0,0.013,0.0,0.106,Fair
704,2.917,0.013,0.442,0.077,Fair
706,3.0,0.013,0.0,0.094,Fair
707,2.881,-1.0,0.998,0.576,Overrated
708,3.388,0.0,0.65,0.178,Fair
709,3.091,0.013,0.741,0.112,Fair
710,2.562,0.013,0.246,0.006,Fair
711,3.05,0.013,1.025,0.104,Fair
714,3.938,0.013,1.029,0.281,Overrated
715,3.667,0.013,0.333,0.227,Overrated
718,4.125,0.013,0.396,0.319,Overrated
719,2.843,0.013,0.953,0.062,Fair
720,4.231,0.0,1.045,0.346,Overrated
722,4.0,0.013,0.0,0.294,Overrated
724,3.032,0.013,0.882,0.1,Fair
725,2.5,0.013,0.75,0.006,Fair
726,3.0,0.013,0.0,0.094,Fair
728,3.5,0.0,0.556,0.2,Fair
731,3.5,0.013,0.333,0.194,Fair
733,3.667,0.0,0.749,0.233,Overrated
735,4.0,0.013,0.214,0.294,Overrated
736,3.321,0.0,1.099,0.164,Fair
737,2.763,0.013,1.788,0.046,Controversial
741,4.161,0.013,0.445,0.326,Overrated
742,2.833,0.013,1.106,0.06,Fair
743,2.589,0.013,0.723,0.011,Fair
745,3.896,0.0,1.212,0.279,Controversial
747,3.333,0.013,0.333,0.16,Fair
748,3.114,0.0,0.879,0.123,Fair
750,4.27,-0.5,0.645,0.604,Overrated
757,4.0,0.013,0.0,0.294,Overrated
759,3.5,0.013,0.5,0.194,Fair
760,4.25,0.013,0.125,0.344,Overrated
761,2.789,0.013,1.148,0.051,Fair
762,2.513,0.013,1.033,0.004,Fair
764,3.5,0.013,0.5,0.194,Fair
765,3.158,0.013,0.668,0.125,Fair
766,3.5,0.013,0.333,0.194,Fair
773,3.5,0.013,0.0,0.194,Fair
775,3.0,0.013,0.0,0.094,Fair
778,4.083,-0.25,0.565,0.442,Overrated
779,4.0,0.013,2.0,0.294,Controversial
780,3.475,0.0,0.909,0.195,Fair
781,3.5,0.013,0.667,0.194,Fair
782,3.0,0.013,1.071,0.094,Fair
783,3.391,0.013,0.699,0.172,Fair
784,2.934,0.013,1.279,0.08,Controversial
